authorName;authorFirstName;bookTitle;;;;;
Camus;Albert;L'étranger;;;;;
Camus;Albert;La peste;;;;;
Camus;Albert;Le mythe de Sysiphe;;;;;
Daudet;Alphonse;;;;;;
Sand;Georges;François le champi;;;;;
Giono;Jean;Colline;;;;;
Giono;Jean;Un de Baumugnes;;;;;
Giono;Jean;Regain;;;;;
Giono;Jean;Que ma joie demeure;;;;;
Giono;Jean;L'Homme qui plantait des arbres;;;;;
Vanier;Nicolas;Belle et Sébastien;;;;;
Jacquard;Albert;;;;;;
Rabhi;Pierre;Du Sahara aux Cevennes;;;;;
Boucher;Amélie;Ergonomie Web : Pour des sites web efficaces;;;;;
Boucher;Amélie;Mémento - Ergonomie web;;;;;
Rimelé;Rodolphe;HTML5, une référence pour le développeur web
Goetter;Raphaël ;CSS avancées : Vers HTML5 et CSS3
Altinier;Armony ;Accessibilité web : Normes et bonnes pratiques pour des sites plus accessibles
Vincent;Jean-Pierre;HTML5 - De la page web à l'application web
Verrecchia;Jonathan;HTML5 - De la page web à l'application web
Gustafson;Aaron ;Adaptive Web Design: Créer des sites riches avec l'amélioration progressive
De Oliveira;Vincent;CSS3 - Le design web moderne
Esnault;Cédric;CSS3 - Le design web moderne
Monteiro;Mike ;Métier Web designer
